Feature,Missing_Count,Missing_Percentage
act_Watching,60597,99.48
act_ReadingPaper,60398,99.16
act_PersonalCare,60226,98.88
act_Other,60208,98.85
act_ReadingDevice,60093,98.66
act_Relaxing,60055,98.59
act_Eating,59634,97.9
act_Browsing,58861,96.63
act_Driving,58682,96.34
act_Listening,55825,91.65
act_Cycling,55221,90.66
act_Walking,54927,90.18
act_Talking,54500,89.47
act_Thinking,53597,87.99
act_Accompanying,52207,85.71
education_level,32940,54.08
years_of_residence_household,29318,48.13
marital_status_household,27557,45.24
labour_status_household,26845,44.07
number_people_household,26472,43.46
weather_group,24866,40.82
temperature_category,24866,40.82
total_sentiment,21042,34.55
ACT,21042,34.55
CP,21042,34.55
GT,21042,34.55
WYR,21042,34.55
did_you_have_to_arrive,14039,23.05
mood_rating,13676,22.45
transport_category,79,0.13
purp_Everyday_Shopping,0,0.0
purp_Work,0,0.0
purp_Pick_Up_Drop_Off,0,0.0
purp_Personal_Tasks_Errands,0,0.0
purp_Other,0,0.0
purp_Leisure_Hobby,0,0.0
purp_Home,0,0.0
legid,0,0.0
purp_Business_Trip,0,0.0
purpose_count,0,0.0
country,0,0.0
city,0,0.0
age_range,0,0.0
class,0,0.0
activity_count,0,0.0
weekday_class,0,0.0
weekday,0,0.0
worthwhileness_rating,0,0.0
leg_duration,0,0.0
leg_distance,0,0.0
motid,0,0.0
tripid,0,0.0
userid,0,0.0
gender,0,0.0
